,corrected pval,Result
ANG_L,0.019183121922619856,True
ATC_L,0.016859810916230348,True
HIP_L,0.009006240260916416,True
IFC_L,0.01657253815596765,True
M1_L,0.0015359520530818958,True
MFC_L,0.0011625576169684852,True
OFC_L,0.010272045475948295,True
SMTC_L,0.0015359520530818958,True
SPC_L,0.004156630522558279,True
V1_L,0.0011625576169684852,True
aCING_L,0.007745273835448687,True
aINS_L,0.016859810916230348,True
aITC_L,0.005882559197604477,True
dlPFC_L,0.027623759107187836,True
iPFC_L,0.061930644139559766,False
pCING_L,0.019183121922619856,True
ANG_R,0.010272045475948295,True
ATC_R,0.1356686351373555,False
HIP_R,0.0015359520530818958,True
IFC_R,0.01657253815596765,True
M1_R,0.0016546771957684288,True
MFC_R,0.004156630522558279,True
OFC_R,0.008595657164622452,True
SMTC_R,0.0038102040404382267,True
SPC_R,0.01657253815596765,True
V1_R,0.01657253815596765,True
aCING_R,0.016859810916230348,True
aINS_R,0.03875300238498472,True
aITC_R,0.01528062060256464,True
dlPFC_R,0.024819081387014965,True
iPFC_R,0.024573406247292966,True
pCING_R,0.0918884849942601,False
