,corrected pval,Result
ANG_L,0.9764511754574475,False
ATC_L,0.6071188033295112,False
HIP_L,0.9141761961958648,False
IFC_L,0.43527655141746807,False
M1_L,0.999996837310388,False
MFC_L,0.43527655141746807,False
OFC_L,0.999996837310388,False
SMTC_L,0.9764511754574475,False
SPC_L,0.9091375775532212,False
V1_L,0.999996837310388,False
aCING_L,0.8205681955305775,False
aINS_L,0.999996837310388,False
aITC_L,0.9764511754574475,False
dlPFC_L,0.43527655141746807,False
iPFC_L,0.8205681955305775,False
pCING_L,0.999996837310388,False
ANG_R,0.8205681955305775,False
ATC_R,0.999996837310388,False
HIP_R,0.999996837310388,False
IFC_R,0.5215903865965015,False
M1_R,0.999996837310388,False
MFC_R,0.43527655141746807,False
OFC_R,0.9764511754574475,False
SMTC_R,0.9141761961958648,False
SPC_R,0.9764511754574475,False
V1_R,0.999996837310388,False
aCING_R,0.9713826164886936,False
aINS_R,0.8205681955305775,False
aITC_R,0.43527655141746807,False
dlPFC_R,0.43527655141746807,False
iPFC_R,0.8205681955305775,False
pCING_R,0.999996837310388,False
