,corrected pval,Result
ANG_L,3.8998432970419184e-09,True
ATC_L,0.0007103141910873638,True
HIP_L,5.1569482958496995e-06,True
IFC_L,3.516483647729158e-05,True
M1_L,1.6805349180983772e-08,True
MFC_L,2.8128644993460463e-14,True
OFC_L,2.3700964098925838e-07,True
SMTC_L,1.6054498347215653e-09,True
SPC_L,1.659683049105714e-07,True
V1_L,2.786327809813925e-07,True
aCING_L,2.1922057484796e-10,True
aINS_L,0.0001061990917367756,True
aITC_L,1.7995396479182052e-05,True
dlPFC_L,8.740215094361313e-08,True
iPFC_L,0.000569996023534362,True
pCING_L,0.0008488542900988903,True
ANG_R,2.949956235117135e-09,True
ATC_R,0.017623926475081382,True
HIP_R,7.333219036493867e-06,True
IFC_R,1.0615406846094375e-05,True
M1_R,1.384006186928426e-13,True
MFC_R,1.384006186928426e-13,True
OFC_R,2.924678394919987e-09,True
SMTC_R,2.949956235117135e-09,True
SPC_R,2.1370102221407136e-09,True
V1_R,3.439714028600871e-08,True
aCING_R,3.590952923348527e-10,True
aINS_R,0.00011175865293618234,True
aITC_R,4.569415991580941e-06,True
dlPFC_R,2.3478298533532593e-07,True
iPFC_R,1.3544382819027002e-05,True
pCING_R,0.003370236745910766,True
