,corrected pval,Result
ANG_L,0.876189892356249,False
ATC_L,0.98011442636632,False
HIP_L,0.98011442636632,False
IFC_L,0.98011442636632,False
M1_L,0.00021903891340402306,True
MFC_L,0.98011442636632,False
OFC_L,0.3346510328096648,False
SMTC_L,0.9521069794285019,False
SPC_L,0.98011442636632,False
V1_L,0.0001012060675838067,True
aCING_L,0.98011442636632,False
aINS_L,0.6375802883534291,False
aITC_L,0.900182987738434,False
dlPFC_L,0.98011442636632,False
iPFC_L,0.98011442636632,False
pCING_L,0.6098131012907806,False
ANG_R,0.98011442636632,False
ATC_R,0.48105467913432814,False
HIP_R,0.8450880997441932,False
IFC_R,0.98011442636632,False
M1_R,0.2485123954885736,False
MFC_R,0.98011442636632,False
OFC_R,0.876189892356249,False
SMTC_R,0.98011442636632,False
SPC_R,0.876189892356249,False
V1_R,0.00021903891340402306,True
aCING_R,0.9679059699807628,False
aINS_R,0.98011442636632,False
aITC_R,0.98011442636632,False
dlPFC_R,0.98011442636632,False
iPFC_R,0.98011442636632,False
pCING_R,0.04313107334705386,True
