,corrected pval,Result
ANG_L,0.3305408250591516,False
ATC_L,0.02379792942852529,True
HIP_L,0.04685585244290969,True
IFC_L,0.2552356610592269,False
M1_L,0.2689766605651748,False
MFC_L,0.18392139429580082,False
OFC_L,0.18392139429580082,False
SMTC_L,0.41297712970225475,False
SPC_L,0.4873277984861041,False
V1_L,0.8768650086272097,False
aCING_L,0.06416839250374831,False
aINS_L,0.037785667224180794,True
aITC_L,0.02379792942852529,True
dlPFC_L,0.2689766605651748,False
iPFC_L,0.578707210049083,False
pCING_L,0.8072531483256437,False
ANG_R,0.02379792942852529,True
ATC_R,0.02379792942852529,True
HIP_R,0.4356953431938615,False
IFC_R,0.24343652284257092,False
M1_R,0.11924318996981079,False
MFC_R,0.02379792942852529,True
OFC_R,0.04301335960436172,True
SMTC_R,0.24343652284257092,False
SPC_R,0.5184906803906598,False
V1_R,0.859830176839612,False
aCING_R,0.07860592970382328,False
aINS_R,0.03302892522370946,True
aITC_R,0.02379792942852529,True
dlPFC_R,0.07935518545848044,False
iPFC_R,0.23265096908880256,False
pCING_R,0.397576626797852,False
