,corrected pval,Result
ANG_L,0.10894245991519118,False
ATC_L,0.01381094228827573,True
HIP_L,0.05957738975261132,False
IFC_L,0.11659548540663825,False
M1_L,0.05957738975261132,False
MFC_L,0.05842783744950811,False
OFC_L,0.12015798394732925,False
SMTC_L,0.1529768516592003,False
SPC_L,0.16324290981809234,False
V1_L,0.3298259441115834,False
aCING_L,0.05017999828513169,False
aINS_L,0.03875941624828021,True
aITC_L,0.03875941624828021,True
dlPFC_L,0.08536874202107134,False
iPFC_L,0.18253074371799827,False
pCING_L,0.3298259441115834,False
ANG_R,0.03875941624828021,True
ATC_R,0.01381094228827573,True
HIP_R,0.29433157239973934,False
IFC_R,0.043441216680339755,True
M1_R,0.08536874202107134,False
MFC_R,0.03875941624828021,True
OFC_R,0.10894245991519118,False
SMTC_R,0.12293237519585526,False
SPC_R,0.2811654064545554,False
V1_R,0.16324290981809234,False
aCING_R,0.0528824233492144,False
aINS_R,0.036447148699174335,True
aITC_R,0.01381094228827573,True
dlPFC_R,0.05017999828513169,False
iPFC_R,0.08853434585270002,False
pCING_R,0.24300156814874022,False
