,corrected pval,Result
ANG_L,0.17433859499593463,False
ATC_L,0.020557684033413275,True
HIP_L,0.12788504588299196,False
IFC_L,0.18941219739255977,False
M1_L,0.13561004326331633,False
MFC_L,0.12788504588299196,False
OFC_L,0.1803621599319626,False
SMTC_L,0.21263744417732713,False
SPC_L,0.2329479598310435,False
V1_L,0.4438622597691734,False
aCING_L,0.09661455651833886,False
aINS_L,0.07037460473417267,False
aITC_L,0.04859603176064127,True
dlPFC_L,0.17433859499593463,False
iPFC_L,0.26815390167688613,False
pCING_L,0.3953739101969038,False
ANG_R,0.07037460473417267,False
ATC_R,0.020557684033413275,True
HIP_R,0.35446197989192607,False
IFC_R,0.07964534556622384,False
M1_R,0.14706232514690679,False
MFC_R,0.07037460473417267,False
OFC_R,0.17433859499593463,False
SMTC_R,0.18941219739255977,False
SPC_R,0.35446197989192607,False
V1_R,0.255705563538016,False
aCING_R,0.07964534556622384,False
aINS_R,0.04859603176064127,True
aITC_R,0.020557684033413275,True
dlPFC_R,0.12788504588299196,False
iPFC_R,0.17433859499593463,False
pCING_R,0.32972839386093844,False
