Label.ID,Label.Name,R,G,B,Flag,FreeSurferLabel,Label.Number,Label.AbbrevName,Label.FullName,Label.Hemisphere,Label.Lobe,Label.Cortex,TissueClass,Label.RegionName
1,right-lateralorbitofrontal_1,247,255,0,0,65527,26,R ofc,Right ofc,Right,NA,TRUE,2,ofc
2,right-lateralorbitofrontal_2,45,255,0,0,65325,NA,,,,NA,NA,NA,NA
3,right-lateralorbitofrontal_3,57,255,0,0,65337,NA,,,,NA,NA,NA,NA
4,right-lateralorbitofrontal_4,0,255,133,0,8781568,26,R ofc,Right ofc,Right,NA,TRUE,2,ofc
5,right-lateralorbitofrontal_5,0,96,255,0,16736256,NA,,,,NA,NA,NA,NA
6,right-lateralorbitofrontal_6,0,90,255,0,16734720,NA,,,,NA,NA,NA,NA
7,right-lateralorbitofrontal_7,255,0,147,0,9634047,NA,,,,NA,NA,NA,NA
8,right-parsorbitalis_1,255,18,0,0,4863,20,R iPFC,Right ipfg,Right,NA,TRUE,2,ipfg
9,right-parsorbitalis_2,255,0,86,0,5636351,20,R iPFC,Right ipfg,Right,NA,TRUE,2,ipfg
10,right-frontalpole_1,222,255,0,0,65502,NA,,,,NA,NA,NA,NA
11,right-medialorbitofrontal_1,143,0,255,0,16711823,NA,,,,NA,NA,NA,NA
12,right-medialorbitofrontal_2,255,239,0,0,61439,NA,,,,NA,NA,NA,NA
13,right-medialorbitofrontal_3,247,0,255,0,16711927,26,R ofc,Right ofc,Right,NA,TRUE,2,ofc
14,right-medialorbitofrontal_4,0,78,255,0,16731648,26,R ofc,Right ofc,Right,NA,TRUE,2,ofc
15,right-medialorbitofrontal_5,0,188,255,0,16759808,26,R ofc,Right ofc,Right,NA,TRUE,2,ofc
16,right-parstriangularis_1,241,255,0,0,65521,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
17,right-parstriangularis_2,0,255,237,0,15597312,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
18,right-parstriangularis_3,255,0,177,0,11600127,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
19,right-parstriangularis_4,255,177,0,0,45567,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
20,right-parsopercularis_1,69,0,255,0,16711749,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
21,right-parsopercularis_2,255,0,129,0,8454399,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
22,right-parsopercularis_3,210,0,255,0,16711890,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
23,right-parsopercularis_4,0,255,139,0,9174784,16,R IFC,Right ifg,Right,NA,TRUE,2,ifg
24,right-rostralmiddlefrontal_1,0,53,255,0,16725248,NA,,,,NA,NA,NA,NA
25,right-rostralmiddlefrontal_2,0,255,114,0,7536384,22,R mfc,Right mfc,Right,NA,TRUE,2,mfc
26,right-rostralmiddlefrontal_3,255,0,239,0,15663359,NA,,,,NA,NA,NA,NA
27,right-rostralmiddlefrontal_4,255,0,239,0,15663359,22,R mfc,Right mfc,Right,NA,TRUE,2,mfc
28,right-rostralmiddlefrontal_5,255,0,239,0,15663359,NA,,,,NA,NA,NA,NA
29,right-rostralmiddlefrontal_6,255,104,0,0,26879,10,R dlpfc,Right dlpfc,Right,NA,TRUE,2,dlpfc
30,right-rostralmiddlefrontal_7,255,0,214,0,14024959,10,R dlpfc,Right dlpfc,Right,NA,TRUE,2,dlpfc
31,right-rostralmiddlefrontal_8,14,0,255,0,16711694,10,R dlpfc,Right dlpfc,Right,NA,TRUE,2,dlpfc
32,right-rostralmiddlefrontal_9,0,255,126,0,8322816,10,R dlpfc,Right dlpfc,Right,NA,TRUE,2,dlpfc
33,right-rostralmiddlefrontal_10,255,0,122,0,7995647,10,R dlpfc,Right dlpfc,Right,NA,TRUE,2,dlpfc
34,right-rostralmiddlefrontal_11,186,255,0,0,65466,NA,,,,NA,NA,NA,NA
35,right-rostralmiddlefrontal_12,0,255,255,0,16776960,10,R dlpfc,Right dlpfc,Right,NA,TRUE,2,dlpfc
36,right-rostralmiddlefrontal_13,235,0,255,0,16711915,NA,,,,NA,NA,NA,NA
37,right-superiorfrontal_1,255,0,251,0,16449791,NA,,,,NA,NA,NA,NA
38,right-superiorfrontal_2,0,84,255,0,16733184,NA,,,,NA,NA,NA,NA
39,right-superiorfrontal_3,0,231,255,0,16770816,NA,,,,NA,NA,NA,NA
40,right-superiorfrontal_4,0,169,255,0,16754944,NA,,,,NA,NA,NA,NA
41,right-superiorfrontal_5,0,255,22,0,1507072,NA,,,,NA,NA,NA,NA
42,right-superiorfrontal_6,0,126,255,0,16743936,NA,,,,NA,NA,NA,NA
43,right-superiorfrontal_7,100,255,0,0,65380,NA,,,,NA,NA,NA,NA
44,right-superiorfrontal_8,0,157,255,0,16751872,NA,,,,NA,NA,NA,NA
45,right-superiorfrontal_9,39,0,255,0,16711719,NA,,,,NA,NA,NA,NA
46,right-superiorfrontal_10,0,71,255,0,16729856,NA,,,,NA,NA,NA,NA
47,right-superiorfrontal_11,255,0,220,0,14418175,NA,,,,NA,NA,NA,NA
48,right-superiorfrontal_12,143,255,0,0,65423,NA,,,,NA,NA,NA,NA
49,right-superiorfrontal_13,0,255,96,0,6356736,NA,,,,NA,NA,NA,NA
50,right-superiorfrontal_14,0,65,255,0,16728320,NA,,,,NA,NA,NA,NA
51,right-superiorfrontal_15,255,0,208,0,13631743,NA,,,,NA,NA,NA,NA
52,right-superiorfrontal_16,0,218,255,0,16767488,NA,,,,NA,NA,NA,NA
53,right-superiorfrontal_17,255,67,0,0,17407,NA,,,,NA,NA,NA,NA
54,right-caudalmiddlefrontal_1,0,255,145,0,9568000,NA,,,,NA,NA,NA,NA
55,right-caudalmiddlefrontal_2,8,255,0,0,65288,NA,,,,NA,NA,NA,NA
56,right-caudalmiddlefrontal_3,255,0,153,0,10027263,NA,,,,NA,NA,NA,NA
57,right-caudalmiddlefrontal_4,63,0,255,0,16711743,22,R mfc,Right mfc,Right,NA,TRUE,2,mfc
58,right-caudalmiddlefrontal_5,235,255,0,0,65515,NA,,,,NA,NA,NA,NA
59,right-precentral_1,124,0,255,0,16711804,NA,,,,NA,NA,NA,NA
60,right-precentral_2,63,255,0,0,65343,NA,,,,NA,NA,NA,NA
61,right-precentral_3,255,0,98,0,6422783,NA,,,,NA,NA,NA,NA
62,right-precentral_4,45,0,255,0,16711725,NA,,,,NA,NA,NA,NA
63,right-precentral_5,0,47,255,0,16723712,32,R precg,Right precg,Right,NA,TRUE,2,precg
64,right-precentral_6,0,255,169,0,11140864,NA,,,,NA,NA,NA,NA
65,right-precentral_7,255,0,226,0,14811391,NA,,,,NA,NA,NA,NA
66,right-precentral_8,255,159,0,0,40959,32,R precg,Right precg,Right,NA,TRUE,2,precg
67,right-precentral_9,216,0,255,0,16711896,32,R precg,Right precg,Right,NA,TRUE,2,precg
68,right-precentral_10,255,24,0,0,6399,32,R precg,Right precg,Right,NA,TRUE,2,precg
69,right-precentral_11,228,0,255,0,16711908,NA,,,,NA,NA,NA,NA
70,right-precentral_12,180,255,0,0,65460,32,R precg,Right precg,Right,NA,TRUE,2,precg
71,right-precentral_13,255,153,0,0,39423,NA,,,,NA,NA,NA,NA
72,right-precentral_14,14,255,0,0,65294,NA,,,,NA,NA,NA,NA
73,right-precentral_15,0,206,255,0,16764416,NA,,,,NA,NA,NA,NA
74,right-precentral_16,0,108,255,0,16739328,NA,,,,NA,NA,NA,NA
75,right-paracentral_1,0,255,231,0,15204096,NA,,,,NA,NA,NA,NA
76,right-paracentral_2,204,255,0,0,65484,NA,,,,NA,NA,NA,NA
77,right-paracentral_3,33,0,255,0,16711713,NA,,,,NA,NA,NA,NA
78,right-paracentral_4,210,255,0,0,65490,NA,,,,NA,NA,NA,NA
79,right-paracentral_5,75,0,255,0,16711755,NA,,,,NA,NA,NA,NA
80,right-paracentral_6,255,141,0,0,36351,NA,,,,NA,NA,NA,NA
81,right-rostralanteriorcingulate_1,173,255,0,0,65453,NA,,,,NA,NA,NA,NA
82,right-rostralanteriorcingulate_2,131,0,255,0,16711811,2,R aCING,Right acc,Right,NA,TRUE,2,acc
83,right-caudalanteriorcingulate_1,0,35,255,0,16720640,2,R aCING,Right acc,Right,NA,TRUE,2,acc
84,right-caudalanteriorcingulate_2,112,0,255,0,16711792,2,R aCING,Right acc,Right,NA,TRUE,2,acc
85,right-caudalanteriorcingulate_3,255,226,0,0,58111,NA,,,,NA,NA,NA,NA
86,right-posteriorcingulate_1,0,10,255,0,16714240,NA,R pCING,,,NA,NA,NA,NA
87,right-posteriorcingulate_2,149,0,255,0,16711829,NA,R pCING,,,NA,NA,NA,NA
88,right-posteriorcingulate_3,192,255,0,0,65472,NA,R pCING,,,NA,NA,NA,NA
89,right-posteriorcingulate_4,192,0,255,0,16711872,NA,R pCING,,,NA,NA,NA,NA
90,right-isthmuscingulate_1,255,129,0,0,33279,28,R pcc,Right pcc,Right,NA,TRUE,2,pcc
91,right-isthmuscingulate_2,0,163,255,0,16753408,28,R pcc,Right pcc,Right,NA,TRUE,2,pcc
92,right-postcentral_1,27,0,255,0,16711707,NA,,,,NA,NA,NA,NA
93,right-postcentral_2,131,255,0,0,65411,NA,,,,NA,NA,NA,NA
94,right-postcentral_3,0,255,206,0,13565696,NA,,,,NA,NA,NA,NA
95,right-postcentral_4,228,255,0,0,65508,NA,,,,NA,NA,NA,NA
96,right-postcentral_5,20,0,255,0,16711700,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
97,right-postcentral_6,255,110,0,0,28415,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
98,right-postcentral_7,255,233,0,0,59903,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
99,right-postcentral_8,0,29,255,0,16719104,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
100,right-postcentral_9,155,0,255,0,16711835,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
101,right-postcentral_10,155,255,0,0,65435,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
102,right-postcentral_11,0,255,78,0,5177088,30,R pocg,Right pocg,Right,NA,TRUE,2,pocg
103,right-postcentral_12,39,255,0,0,65319,NA,,,,NA,NA,NA,NA
104,right-supramarginal_1,255,122,0,0,31487,NA,,,,NA,NA,NA,NA
105,right-supramarginal_2,0,255,71,0,4718336,NA,,,,NA,NA,NA,NA
106,right-supramarginal_3,0,255,53,0,3538688,NA,,,,NA,NA,NA,NA
107,right-supramarginal_4,255,135,0,0,34815,NA,,,,NA,NA,NA,NA
108,right-supramarginal_5,255,0,141,0,9240831,NA,,,,NA,NA,NA,NA
109,right-supramarginal_6,0,212,255,0,16765952,NA,,,,NA,NA,NA,NA
110,right-supramarginal_7,0,255,188,0,12386048,NA,,,,NA,NA,NA,NA
111,right-supramarginal_8,255,37,0,0,9727,NA,,,,NA,NA,NA,NA
112,right-supramarginal_9,255,12,0,0,3327,NA,,,,NA,NA,NA,NA
113,right-superiorparietal_1,255,116,0,0,29951,NA,,,,NA,NA,NA,NA
114,right-superiorparietal_2,255,245,0,0,62975,36,R SPC,Right spl,Right,NA,TRUE,2,spl
115,right-superiorparietal_3,255,208,0,0,53503,36,R SPC,Right spl,Right,NA,TRUE,2,spl
116,right-superiorparietal_4,0,59,255,0,16726784,36,R SPC,Right spl,Right,NA,TRUE,2,spl
117,right-superiorparietal_5,69,255,0,0,65349,36,R SPC,Right spl,Right,NA,TRUE,2,spl
118,right-superiorparietal_6,94,255,0,0,65374,36,R SPC,Right spl,Right,NA,TRUE,2,spl
119,right-superiorparietal_7,57,0,255,0,16711737,NA,,,,NA,NA,NA,NA
120,right-superiorparietal_8,0,182,255,0,16758272,36,R SPC,Right spl,Right,NA,TRUE,2,spl
121,right-superiorparietal_9,118,255,0,0,65398,NA,,,,NA,NA,NA,NA
122,right-superiorparietal_10,8,0,255,0,16711688,NA,,,,NA,NA,NA,NA
123,right-superiorparietal_11,82,255,0,0,65362,NA,,,,NA,NA,NA,NA
124,right-superiorparietal_12,186,0,255,0,16711866,NA,,,,NA,NA,NA,NA
125,right-superiorparietal_13,255,80,0,0,20735,NA,,,,NA,NA,NA,NA
126,right-inferiorparietal_1,216,255,0,0,65496,NA,,,,NA,NA,NA,NA
127,right-inferiorparietal_2,112,255,0,0,65392,4,R ang,Right ang,Right,NA,TRUE,2,ang
128,right-inferiorparietal_3,255,0,110,0,7209215,NA,,,,NA,NA,NA,NA
129,right-inferiorparietal_4,51,255,0,0,65331,4,R ang,Right ang,Right,NA,TRUE,2,ang
130,right-inferiorparietal_5,241,0,255,0,16711921,4,R ang,Right ang,Right,NA,TRUE,2,ang
131,right-inferiorparietal_6,255,214,0,0,55039,NA,,,,NA,NA,NA,NA
132,right-inferiorparietal_7,33,255,0,0,65313,4,R ang,Right ang,Right,NA,TRUE,2,ang
133,right-inferiorparietal_8,0,255,102,0,6749952,4,R ang,Right ang,Right,NA,TRUE,2,ang
134,right-inferiorparietal_9,255,49,0,0,12799,4,R ang,Right ang,Right,NA,TRUE,2,ang
135,right-inferiorparietal_10,255,202,0,0,51967,NA,,,,NA,NA,NA,NA
136,right-inferiorparietal_11,255,0,184,0,12058879,NA,,,,NA,NA,NA,NA
137,right-inferiorparietal_12,118,0,255,0,16711798,NA,,,,NA,NA,NA,NA
138,right-precuneus_1,255,190,0,0,48895,NA,,,,NA,NA,NA,NA
139,right-precuneus_2,0,255,249,0,16383744,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
140,right-precuneus_3,0,237,255,0,16772352,NA,,,,NA,NA,NA,NA
141,right-precuneus_4,0,243,255,0,16773888,NA,,,,NA,NA,NA,NA
142,right-precuneus_5,255,196,0,0,50431,NA,,,,NA,NA,NA,NA
143,right-precuneus_6,255,55,0,0,14335,NA,,,,NA,NA,NA,NA
144,right-precuneus_7,0,22,255,0,16717312,NA,,,,NA,NA,NA,NA
145,right-precuneus_8,255,147,0,0,37887,NA,,,,NA,NA,NA,NA
146,right-precuneus_9,222,0,255,0,16711902,34,R precuneus,Right precuneus,Right,NA,TRUE,2,precuneus
147,right-precuneus_10,0,249,255,0,16775424,34,R precuneus,Right precuneus,Right,NA,TRUE,2,precuneus
148,right-cuneus_1,88,255,0,0,65368,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
149,right-cuneus_2,255,0,165,0,10813695,NA,,,,NA,NA,NA,NA
150,right-cuneus_3,149,255,0,0,65429,NA,,,,NA,NA,NA,NA
151,right-cuneus_4,0,255,182,0,11992832,NA,,,,NA,NA,NA,NA
152,right-pericalcarine_1,124,255,0,0,65404,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
153,right-pericalcarine_2,198,0,255,0,16711878,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
154,right-pericalcarine_3,255,251,0,0,64511,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
155,right-pericalcarine_4,255,0,245,0,16056575,NA,,,,NA,NA,NA,NA
156,right-lateraloccipital_1,255,0,0,0,255,NA,,,,NA,NA,NA,NA
157,right-lateraloccipital_2,255,31,0,0,8191,NA,,,,NA,NA,NA,NA
158,right-lateraloccipital_3,255,0,135,0,8847615,NA,,,,NA,NA,NA,NA
159,right-lateraloccipital_4,255,0,116,0,7602431,NA,,,,NA,NA,NA,NA
160,right-lateraloccipital_5,0,255,218,0,14352128,NA,,,,NA,NA,NA,NA
161,right-lateraloccipital_6,253,255,0,0,65533,NA,,,,NA,NA,NA,NA
162,right-lateraloccipital_7,167,255,0,0,65447,NA,,,,NA,NA,NA,NA
163,right-lateraloccipital_8,204,0,255,0,16711884,NA,,,,NA,NA,NA,NA
164,right-lateraloccipital_9,255,165,0,0,42495,NA,,,,NA,NA,NA,NA
165,right-lateraloccipital_10,2,255,0,0,65282,NA,,,,NA,NA,NA,NA
166,right-lingual_1,161,255,0,0,65441,NA,,,,NA,NA,NA,NA
167,right-lingual_2,255,0,233,0,15270143,NA,,,,NA,NA,NA,NA
168,right-lingual_3,255,86,0,0,22271,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
169,right-lingual_4,198,255,0,0,65478,NA,,,,NA,NA,NA,NA
170,right-lingual_5,0,200,255,0,16762880,NA,,,,NA,NA,NA,NA
171,right-lingual_6,0,255,47,0,3145472,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
172,right-lingual_7,0,255,120,0,7929600,6,R calcarine,Right calcarine,Right,NA,TRUE,2,calcarine
173,right-fusiform_1,0,41,255,0,16722176,NA,,,,NA,NA,NA,NA
174,right-fusiform_2,0,114,255,0,16740864,NA,,,,NA,NA,NA,NA
175,right-fusiform_3,255,43,0,0,11263,NA,,,,NA,NA,NA,NA
176,right-fusiform_4,0,255,35,0,2359040,NA,,,,NA,NA,NA,NA
177,right-fusiform_5,106,0,255,0,16711786,NA,,,,NA,NA,NA,NA
178,right-fusiform_6,255,220,0,0,56575,NA,,,,NA,NA,NA,NA
179,right-fusiform_7,0,194,255,0,16761344,NA,,,,NA,NA,NA,NA
180,right-fusiform_8,255,0,92,0,6029567,NA,,,,NA,NA,NA,NA
